[0.00s -> 4.24s]  Hola muy buenas, ¿cómo estamos?
[0.00s -> 2.00s]  la evaluación de ese texto que eso
[0.00s -> 2.00s]  va a ser otro punto más.
[0.00s -> 3.90s]  adelante pero lo que es vos
[0.00s -> 2.00s]  texto ya está
[0.00s -> 2.00s]  de hacer unas correcciones nomas una
[0.00s -> 3.12s]  mejoras de
[0.00s -> 1.84s]  de velocidad quizá y de calidad
[0.00s -> 2.00s]  pero eso se tiene que hacer
[0.00s -> 2.00s]  lo que se espera de
[0.00s -> 2.00s]  que se tuviera para ser...
[0.00s -> 2.00s]  verdad.
[0.00s -> 2.00s]  para obtener los macros de segundo...
[0.00s -> 2.00s]  lo que se va a demorar.
[0.00s -> 3.28s]  procesar esto
[0.00s -> 2.00s]  así que
[0.00s -> 2.00s]  esto es lo que tengo
[0.00s -> 2.00s]  si eso se sabe bien
[0.00s -> 2.00s]  se parece que es casi de rio
[0.00s -> 2.00s]  el time ya que se demora segundo se ve en procesar
[0.00s -> 3.88s]  esto pero todavía falta
[0.00s -> 2.00s]  los otros pasos
[0.00s -> 2.00s]  que obviamente va a...
[0.00s -> 3.44s]  de limitar un poco
[0.00s -> 2.00s]  los segundos diferentes
[0.00s -> 2.00s]  así que
[0.00s -> 2.00s]  Eso, eso quiere mostrarle hasta ahora.
